go home ; idź do domu
go to the bar ; idź
time to go to sleep ; pora iść spać
time is nothing ; czas to nic
space is unique ; przestrzeń
go to home ; idź do domu
awk ; awk
Features ; funkcje
I took your time ; zająłem tobie czas
various impors ; różne importy
heirdom ; dziedziczenie
Inheritance ; Dziedzictwo
focus ; skupiać
cicha ; Cicho
quiet ; cicha
company ; firma
previous ; poprzedni
meet ; spotykać się
Simplicity ; Prostota
vice principle ; wicedyrektor
neighbor ; sąsiad
let in ; wpuścić
place ; umieść
just ; właśnie
such ; taki
plush ; pluszowy
commode ; komoda
drow ; drow
draw ; rysować
pencil ; ołówek
chalk ; kreda
image ; obraz
 ; 
cyclist ; kolarz
philosopher ; filozof
reset ; przywrócić
using ; przy pomocy
dilute ; rozcieńczać
I tried ; próbowałem
invalid ; nieważny
jednak ; jednak
but ; jednak
reply ; odpowiedź
reply ; odpowiedź
tadpole ; kijanka
physics ; fizyka
tits ; cycki
taste ; degustować
taster ; degustator
ostrich ; struś
actuator ; aparat
under ; pod
former ; były
study ; badanie
washer ; pralka
washer ; pralka
 ; 
south ; południe
noon ; południe
advertisement ; ogłoszenie
page ; strona
restrict ; ograniczać
miniówka ; miniówka
miniówka ; miniówka
embrace ; ogarnąć
flue ; przewód kominowy
flue ; przewód
flu ; grypa
eversis ; eversis
selection ; wybór
converters ; konwertery
Advanced ; zaawansowane
Understanding resource life cycles ; Zrozumienie cykli życia zasobów
reliable ; niezawodny
stress out ; stresuj się
query ; kwerenda
 ; 
appropriate ; stosowne
attachment ; załącznik
also ; ponadto
I mention ; nadmieniam
search ; poszukiwania
resource ; zasób
implementation ; realizacja
implementation ; realizacja
Aussie ; Australijczyk
name ; nazwisko
sure name ; nazwisko
trousers ; spodnie
lawsuit ; sprawa sądowa
last ; ostatnimi
my ; moje
appreciate ; doceniać
met ; poznal
as ; taka jaka jesteś
feel ; czuć
requirements ; wymagań
experience ; doświadczenie
serious ; poważne
fluffy ; puszysty
pass the time ; zabić czas
company ; firma
pending ; w oczekiwaniu
specific ; konkretny
instead ; zamiast
orders ; zleceń
Tiny ; Malutki
Det sjunde inseglet ; Det sjunde inseglet
cornerstone ; kamień węgielny
hardly ; ledwie
seldom ; rzadko
mocja „Zyskaj więcej” z Kontem IDEALNIE PROSTYM ; mocja „Zyskaj więcej” z Kontem IDEALNIE PROSTYM
be careful ; uważaj
attack ; atak
score ; wynik
succession ; następstwo
effect ; efekt
absurd ; absurd
absurd ; absurd
kinky ; perwersyjne
yet ; jeszcze
jurnalist ; jurnalist
 ; 
God ; bóg
are atheists right ; są dobrymi ateistami
april ; kwiecień
remote ; zdalna
order by ; Zamów przez
third ; trzecia
amount ; ilość
Wednesday ; środa
eager ; chętny
meat ; mięso
deezy ; deezy
dizzy ; oszołomiony
appreciated ; doceniany
W takim razie ; W takim razie
poverty ; ubóstwo
meet ; spotykać się
met ; spotkał
introvert ; introwertyk
tile ; dachówka
measure ; miarka
zazwyczaj ; zazwyczaj
july ; lipiec
marriage ; małżeństwo
acquisition ; nabycie
make it ; zdążyć 
Impersonate ; Podszywać się
bearing ; łożysko
addressee ; adresat
service openvpn restart ; restart usługi openvpn
separately ; oddzielne
meap ; meap
exchange ; wymiana
blanket ; koc
initials ; inicjały
default ; domyślna
malformed ; zniekształcony
jeÅ¼yk ; jeżyk
 ; właściciel
cat ; 
pillow ; 
data ; dane
-split ; podział
july ; lipiec
cat ; kot
july ; lipiec
honey ; miód
moose ; los
die ; umrę
seen ; postrzegać
happy ; szczęśliwa
flat ; płaska
cucumber ; ogórek
8080/ ; 
character ; postać
somewhen ; kiedyś
węgiel ; węgiel
verse ; werset
unusall ; niezwykły
revers ; revers
quantity ; ilośc
within ; w ciągu
each ; każda
studio ; kawalerka
 ; 
studio ; kawalerka
preserve ; 
edited ; edytowane
elm ; wiąz
tank ; czołg
tank ; czołg
holidays ; święta
pressure ; nacisk
time ; pora
arm ; ramie
view ; pogląd
aided ; wspomagany
conscripted ; poborowy
metered ; 
chart ; wykres
reclaimed ; odzyskane
data ; dane
revoke ; odwołać
proper ; właściwy
footer ; stopka
general ; generał
behind ; za
hear ; słyszeć
response ; odpowiedź
vaccine ; szczepionka
dereferenced ; zaniedbany
cakes ; placki
tingling ; mrowienie
tremors ; drżenie
genocide ; ludobójstwo
allows ; pozwala
higher ; wyższa
original ; oryginalny
xclip -o -selection clip >> $path_note/clip.md ; xclip -o-wybór klipu >> $ path_note / clip.md
date ; data
date ; data
decrease ; zmniejszyć
data ; dane
I use oh my zsh and zplug and I didn't see any difference with speed.  ; Używam och zsh i zplug i nie widziałem żadnej różnicy w szybkości.
party ; imprezować
//
//    @Override
//    public void setConfigurations(NewsletterPortletConfiguration portletConfiguration) {
//
//    }
//
//    @Override
//    public boolean subscribe(String email) {
//        return false;
//    }
//
//    @Override
//    public String getErrorMessage() {
//        return null;
//    }
//
//    @Override
//    public NewsletterSystemConfiguration getSystemConfiguration() {
//        return null;
//    }
//
//    @Override
//    public void activate(Map<Object, Object> properties) {
//
//    } ; 
jacket ; kurtka
I overslept ; zaspałem
stuff ; rzeczy
survey ; badania
compartment ; przedział
corridor ; korytaż
cheek ; policzek
both ; oba
juice ; sok
warm ; ciepły
I am dying ; umieram
sacrifice ; poświęcić
receip ; paragon
receipt ; paragon
injury ; kontuzja
glove compartment ; schowek
deterrent ; deterrent
tooth ; ząb
here ; tutaj
debt ; dług
invite ; zaprosić
invide ; zapraszać
assault ; napaść
occurrence ; występowanie
compartment ; przedział
permission ; pozwolenie
permitted ; dozwolony
three ; trzy
unable ; niezdolny
jam ; dżem
proved ; udowodnione
humor ; humor
external ; zewnętrzny
mere ; sam
range ; zakres
rise ; podwyżka
success ; sukces
lose ; przegrać
trend ; trend
midnight ; północ
datas ; dane teleadresowe
forfeit ; utracić
forfeit ; utracić
pleas ; prośby
pleas ; prośby
Please ; proszę
calf ; cielę
pod ; strąk
pod ; strąk
barb ; kolec
 ; osiągnąć
atchive ; archiwum
wired ; przewodowy
denied ; 
sleep ; spać
routine ; rutyna
schedule ; harmonogram
anechoic ; bezechowy
data ; dane
holiday ; święto
erection ; erekcja
remind ; przypomnieć
schedule ; harmonogram
mob ; tłum
Recurrent ; Nawracający
relatives ; krewni
invite ; zaprosić
comma ; przecinek
cat ; kot
Thursday ; czwartek
 ; 
storm ; burza
vigilant ; czujny
issued ; wydany
full ; wypełniony
dead ; nie żyje
Don’t tread on me ; Nie nadepnij na mnie
abbreviation ; skrót
August ; sierpień
Media ; multimedia
Brazilian coup ; Brazylijski zamach stanu
exiled ; zesłany
intelligence ; inteligencja
The socialists here fight among themselves, because they defend different types ; Tutejsi socjaliści walczą między sobą, bo bronią różnych typów
Marxist ; marksista
hit ; trafić
gulag ; gułag
machism ; machizm
west ; Zachód
bother ; niepokoić
fasten ; przymocować
DWIG ; DWIG
tackle ; sprzęt
ludicrous ; śmieszny
puns ; kalambury
August ; sierpień
resign ; rezygnować
exhausted ; wyczerpany
pi ; Liczba Pi
pip ; pypeć
colon ; dwukropek
Jun ; Jun
Jun ; Jun
sincere ; szczery
